state,d_month,year,month_only,month,totals,handguns_total,long_guns_total,other_total
Mississippi,2017-03-01,2017,03,2017-03,24421,13113,7925,3383
Missouri,2017-03-01,2017,03,2017-03,52928,29338,19495,4095
Montana,2017-03-01,2017,03,2017-03,12396,4132,5486,2778
Nebraska,2017-03-01,2017,03,2017-03,7337,196,2064,5077
Nevada,2017-03-01,2017,03,2017-03,14158,6414,3391,4353
New Hampshire,2017-03-01,2017,03,2017-03,13529,7325,3487,2717
New Jersey,2017-03-01,2017,03,2017-03,10993,6871,3864,258
New Mexico,2017-03-01,2017,03,2017-03,14963,7319,5272,2372
New York,2017-03-01,2017,03,2017-03,35608,13368,15979,6261
North Carolina,2017-03-01,2017,03,2017-03,55574,3840,16401,35333
North Dakota,2017-03-01,2017,03,2017-03,6461,2096,2556,1809
Ohio,2017-03-01,2017,03,2017-03,81153,39125,20905,21123
Oklahoma,2017-03-01,2017,03,2017-03,30518,16351,12055,2112
Oregon,2017-03-01,2017,03,2017-03,32423,17230,13549,1644
Pennsylvania,2017-03-01,2017,03,2017-03,110334,61793,15952,32589
Puerto Rico,2017-03-01,2017,03,2017-03,1560,1273,209,78
Rhode Island,2017-03-01,2017,03,2017-03,2553,1437,807,309
South Carolina,2017-03-01,2017,03,2017-03,43113,14507,7605,21001
South Dakota,2017-03-01,2017,03,2017-03,9770,3487,3930,2353
Tennessee,2017-03-01,2017,03,2017-03,74655,29422,15926,29307
Texas,2017-03-01,2017,03,2017-03,144270,64249,40011,40010
Utah,2017-03-01,2017,03,2017-03,26941,4852,4481,17608
Vermont,2017-03-01,2017,03,2017-03,4051,2017,1797,237
Virgin Islands,2017-03-01,2017,03,2017-03,96,27,5,64
Virginia,2017-03-01,2017,03,2017-03,49368,29888,17758,1722
Washington,2017-03-01,2017,03,2017-03,58069,23284,14879,19906
West Virginia,2017-03-01,2017,03,2017-03,22529,10197,8529,3803
Wisconsin,2017-03-01,2017,03,2017-03,58739,20077,17112,21550
Wyoming,2017-03-01,2017,03,2017-03,5315,2208,2274,833
Alabama,2017-02-01,2017,02,2017-02,46251,12688,8856,24707
Alaska,2017-02-01,2017,02,2017-02,5917,3087,2320,510
Arizona,2017-02-01,2017,02,2017-02,37388,17684,9825,9879
Arkansas,2017-02-01,2017,02,2017-02,22548,9525,8339,4684
California,2017-02-01,2017,02,2017-02,129885,44981,25468,59436
Colorado,2017-02-01,2017,02,2017-02,43577,21143,13507,8927
Connecticut,2017-02-01,2017,02,2017-02,15209,6446,2189,6574
Delaware,2017-02-01,2017,02,2017-02,5066,2484,1716,866
District of Columbia,2017-02-01,2017,02,2017-02,93,65,1,27
Florida,2017-02-01,2017,02,2017-02,117892,63876,25271,28745
Georgia,2017-02-01,2017,02,2017-02,53177,21783,11399,19995
Guam,2017-02-01,2017,02,2017-02,132,74,43,15
Hawaii,2017-02-01,2017,02,2017-02,1037,0,2,1035
Idaho,2017-02-01,2017,02,2017-02,14936,4542,4589,5805
Illinois,2017-02-01,2017,02,2017-02,139697,27418,12635,99644
Indiana,2017-02-01,2017,02,2017-02,136193,27469,14082,94642
Iowa,2017-02-01,2017,02,2017-02,15025,346,2527,12152
Kansas,2017-02-01,2017,02,2017-02,19211,9019,6053,4139
Kentucky,2017-02-01,2017,02,2017-02,313748,17564,11389,284795
Louisiana,2017-02-01,2017,02,2017-02,27684,14143,8838,4703
